match_id,season,team1,team2,venue,city,toss_winner,toss_decision,team1_matches_played,team1_wins,team1_win_rate,team1_toss_win_rate,team2_matches_played,team2_wins,team2_win_rate,team2_toss_win_rate,h2h_matches_played,h2h_team1_win_rate,is_team1_toss_winner,team1_win
336012,2008,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,field,14,4,0.2857142857142857,0.35714285714285715,14,7,0.5,0.5714285714285714,32,0.40625,0,0
336019,2008,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Rajasthan Royals,field,15,10,0.6666666666666666,0.5333333333333333,16,13,0.8125,0.6875,21,0.38095238095238093,0,1
336038,2008,Delhi Daredevils,Rajasthan Royals,Wankhede Stadium,Mumbai,Delhi Daredevils,field,14,7,0.5,0.42857142857142855,16,13,0.8125,0.6875,18,0.3888888888888889,1,0
336039,2008,Chennai Super Kings,Kings XI Punjab,Wankhede Stadium,Mumbai,Kings XI Punjab,bat,16,9,0.5625,0.3125,15,10,0.6666666666666666,0.5333333333333333,23,0.6086956521739131,0,1
336040,2008,Chennai Super Kings,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai,Rajasthan Royals,field,16,9,0.5625,0.3125,16,13,0.8125,0.6875,29,0.5517241379310345,0,0
392182,2009,Royal Challengers Bangalore,Rajasthan Royals,Newlands,Cape Town,Royal Challengers Bangalore,bat,16,9,0.5625,0.5,13,5,0.38461538461538464,0.3076923076923077,29,0.5172413793103449,1,1
392181,2009,Chennai Super Kings,Mumbai Indians,Newlands,Cape Town,Chennai Super Kings,field,14,8,0.5714285714285714,0.5,13,5,0.38461538461538464,0.46153846153846156,37,0.4594594594594595,1,0
392184,2009,Deccan Chargers,Kolkata Knight Riders,Newlands,Cape Town,Kolkata Knight Riders,bat,16,9,0.5625,0.625,13,3,0.23076923076923078,0.5384615384615384,9,0.2222222222222222,0,1
392185,2009,Royal Challengers Bangalore,Chennai Super Kings,St George's Park,Port Elizabeth,Chennai Super Kings,bat,16,9,0.5625,0.5,14,8,0.5714285714285714,0.5,30,0.3333333333333333,0,0
392186,2009,Kings XI Punjab,Kolkata Knight Riders,Kingsmead,Durban,Kolkata Knight Riders,field,14,7,0.5,0.42857142857142855,13,3,0.23076923076923078,0.5384615384615384,27,0.3333333333333333,0,0
392188,2009,Royal Challengers Bangalore,Deccan Chargers,Newlands,Cape Town,Deccan Chargers,bat,16,9,0.5625,0.5,16,9,0.5625,0.625,11,0.45454545454545453,0,0
392189,2009,Chennai Super Kings,Delhi Daredevils,Kingsmead,Durban,Delhi Daredevils,bat,14,8,0.5714285714285714,0.5,15,10,0.6666666666666666,0.6,18,0.6666666666666666,0,0
392191,2009,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Durban,Royal Challengers Bangalore,bat,16,9,0.5625,0.5,14,7,0.5,0.42857142857142855,26,0.46153846153846156,1,0
392192,2009,Deccan Chargers,Mumbai Indians,Kingsmead,Durban,Deccan Chargers,bat,16,9,0.5625,0.625,13,5,0.38461538461538464,0.46153846153846156,10,0.4,1,1
392194,2009,Royal Challengers Bangalore,Delhi Daredevils,St George's Park,Port Elizabeth,Royal Challengers Bangalore,bat,16,9,0.5625,0.5,15,10,0.6666666666666666,0.6,21,0.6190476190476191,1,0
392195,2009,Kings XI Punjab,Rajasthan Royals,Newlands,Cape Town,Kings XI Punjab,bat,14,7,0.5,0.42857142857142855,13,5,0.38461538461538464,0.3076923076923077,21,0.38095238095238093,1,1
392196,2009,Chennai Super Kings,Deccan Chargers,Kingsmead,Durban,Deccan Chargers,field,14,8,0.5714285714285714,0.5,16,9,0.5625,0.625,10,0.6,0,0
392197,2009,Kolkata Knight Riders,Mumbai Indians,St George's Park,Port Elizabeth,Mumbai Indians,bat,13,3,0.23076923076923078,0.5384615384615384,13,5,0.38461538461538464,0.46153846153846156,34,0.3235294117647059,0,0
392198,2009,Delhi Daredevils,Rajasthan Royals,SuperSport Park,Centurion,Delhi Daredevils,bat,15,10,0.6666666666666666,0.6,13,5,0.38461538461538464,0.3076923076923077,18,0.3888888888888889,1,0
392199,2009,Royal Challengers Bangalore,Kolkata Knight Riders,Kingsmead,Durban,Kolkata Knight Riders,bat,16,9,0.5625,0.5,13,3,0.23076923076923078,0.5384615384615384,32,0.4375,0,1
392200,2009,Kings XI Punjab,Mumbai Indians,Kingsmead,Durban,Kings XI Punjab,bat,14,7,0.5,0.42857142857142855,13,5,0.38461538461538464,0.46153846153846156,26,0.4230769230769231,1,1
392202,2009,Chennai Super Kings,Rajasthan Royals,SuperSport Park,Centurion,Rajasthan Royals,field,14,8,0.5714285714285714,0.5,13,5,0.38461538461538464,0.3076923076923077,29,0.5517241379310345,0,1
392201,2009,Deccan Chargers,Delhi Daredevils,SuperSport Park,Centurion,Delhi Daredevils,field,16,9,0.5625,0.625,15,10,0.6666666666666666,0.6,11,0.36363636363636365,0,0
392203,2009,Kolkata Knight Riders,Mumbai Indians,Buffalo Park,East London,Mumbai Indians,bat,13,3,0.23076923076923078,0.5384615384615384,13,5,0.38461538461538464,0.46153846153846156,34,0.3235294117647059,0,0
392204,2009,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Durban,Royal Challengers Bangalore,bat,16,9,0.5625,0.5,14,7,0.5,0.42857142857142855,26,0.46153846153846156,1,1
392206,2009,Chennai Super Kings,Delhi Daredevils,New Wanderers Stadium,Johannesburg,Delhi Daredevils,field,14,8,0.5714285714285714,0.5,15,10,0.6666666666666666,0.6,18,0.6666666666666666,0,1
392205,2009,Deccan Chargers,Rajasthan Royals,St George's Park,Port Elizabeth,Deccan Chargers,bat,16,9,0.5625,0.625,13,5,0.38461538461538464,0.3076923076923077,9,0.2222222222222222,1,0
