season,team,matches_played,wins,toss_wins,home_matches,away_matches,win_rate,toss_win_rate
2022,Lucknow Super Giants,15,9,7,8,7,0.6,0.4666666666666667
2023,Royal Challengers Bangalore,14,7,8,9,5,0.5,0.5714285714285714
2023,Kolkata Knight Riders,14,6,5,7,7,0.42857142857142855,0.35714285714285715
2023,Mumbai Indians,16,9,10,6,10,0.5625,0.625
2023,Rajasthan Royals,14,7,10,7,7,0.5,0.7142857142857143
2023,Chennai Super Kings,16,10,10,9,7,0.625,0.625
2023,Sunrisers Hyderabad,14,4,7,7,7,0.2857142857142857,0.5
2023,Delhi Capitals,14,5,7,5,9,0.35714285714285715,0.5
2023,Punjab Kings,14,6,5,9,5,0.42857142857142855,0.35714285714285715
2023,Gujarat Titans,17,11,9,8,9,0.6470588235294118,0.5294117647058824
2023,Lucknow Super Giants,15,8,3,7,8,0.5333333333333333,0.2
2024,Kolkata Knight Riders,14,11,3,9,5,0.7857142857142857,0.21428571428571427
2024,Mumbai Indians,14,4,10,5,9,0.2857142857142857,0.7142857142857143
2024,Rajasthan Royals,15,9,11,5,10,0.6,0.7333333333333333
2024,Chennai Super Kings,14,7,3,8,6,0.5,0.21428571428571427
2024,Sunrisers Hyderabad,16,9,7,10,6,0.5625,0.4375
2024,Delhi Capitals,14,7,7,7,7,0.5,0.5
2024,Punjab Kings,14,5,10,4,10,0.35714285714285715,0.7142857142857143
2024,Gujarat Titans,12,5,3,6,6,0.4166666666666667,0.25
2024,Lucknow Super Giants,14,7,9,8,6,0.5,0.6428571428571429
2024,Royal Challengers Bengaluru,15,7,8,9,6,0.4666666666666667,0.5333333333333333
